id,original_title,cast,director,tagline,keywords,overview,genres,production_companies
37169,The Human Centipede (First Sequence),Dieter Laser|Ashley C. Williams|Ashlynn Yennie|Akihiro Kitamura|Andreas Leupold,Tom Six,Their flesh is his fantasy,surgeon|kidnapping|body mutilation|psychosis|body horror,"During a stopover in Germany in the middle of a carefree road trip through Europe, two American girls find themselves alone at night when their car breaks down in the woods. Searching for help at a nearby villa, they are wooed into the clutches of a deranged retired surgeon who explains his mad scientific vision to his captives' utter horror. They are to be the subjects of his sick lifetime fantasy: to be the first to connect people, one to the next, and in doing so bring to life ""the human centipede.""",Horror,Six Entertainment
14164,Dragonball Evolution,Justin Chatwin|Joon Park|Jamie Chung|Emmy Rossum|James Marsters,James Wong,The legend comes to life.,karate|superhero|revenge|dragon|duringcreditsstinger,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",Action|Adventure|Fantasy|Science Fiction|Thriller,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Star Overseas|Dune Entertainment III
5937,John Rabe,Ulrich Tukur|Dagmar Manzel|Steve Buscemi|Daniel BrÃ¼hl|Zhang Jingchu,Florian Gallenberger,History Needs Extraordinary Heroes,japan|china|biography|ns-zeit|life-saver,"A true-story account of a German businessman who saved more than 200,000 Chinese during the Nanjing massacre in 1937-38.",Drama|History|War,Hofmann & Voges Entertainment|Majestic Filmproduktion|EOS Entertainment|Zweites Deutsches Fernsehen (ZDF)|Pampa Production
26688,Sorority Row,Rumer Willis|Briana Evigan|Jamie Chung|Leah Pipes|Teri Andrzejewski,Stewart Hendler,The Sisters of Theta Pi Are Dying To Keep a Secret.,graduation|killer|horror movie remade|sorority house,"When five sorority girls inadvertently cause the murder of one of their sisters in a prank gone wrong, they agree to keep the matter to themselves and never speak of it again, so they can get on with their lives. This proves easier said than done, when after graduation a mysterious killer goes after the five of them and anyone who knows their secret.",Horror|Mystery|Thriller,Summit Entertainment|Karz Entertainment
24051,Hardwired,Cuba Gooding Jr.|Val Kilmer|Alastair Gamble|Juan Riedinger|Michael Ironside,Ernie Barbarash|Tia Buhl,"They stole his past, now he's taking back his future.",amnesia|mind control|conspiracy|on the run|corporate world,"After a tragic accident Luke Gibson is left with critical injuries and complete amnesia. A new technological breakthrough from the Hexx Corporation - a Psi-Comp Implant that's hardwired into Luke's brain - saves his life, but Luke soon finds out that this new technology comes with a price and that the Hexx Corporation harbors sinister plans for the new device.",Action|Adventure|Science Fiction|Thriller,Motion Picture Corporation of America|Insight Film Studios
24271,The Maiden Heist,Morgan Freeman|Christopher Walken|William H. Macy|Joseph McKenna|Wynn Everett,Peter Hewitt,"They're not bad guys, just bad thieves.",scuplture|theft|security guard,A comedy centered on three museum security guards who devise a plan to steal back the artworks to which they have become attached after they are transferred to another museum.,Comedy|Crime,Revelations Entertainment|Dog Pond Productions|Yan Film Group|Paris Film
19688,Middle of Nowhere,Susan Sarandon|Eva Amurri Martino|Anton Yelchin|Justin Chatwin|Brea Grant,John Stockwell,Life Without a Road Map...,mother daughter relationship|summer|real life mother and daughter playing mother and daughter|beauty pageant,"The film follows Grace, a young woman whose irresponsible mother blows her college fund on her younger sister's beauty pageant campaign.",Comedy|Drama,Bold Films|Louisiana Media Productions|Nowhere Films Louisiana Productions
25983,The House of the Devil,Jocelin Donahue|Mary Woronov|Greta Gerwig|AJ Bowen|Heather Robb,Ti West,Talk on the phone. Finish your homework. Watch TV. Die.,ritual|cult|independent film|human sacrifice|eclipse,"In the 1980s, college student Samantha Hughes takes a strange babysitting job that coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret.",Mystery|Horror,MPI Media Group
79896,The Revenant,Chris Wylde|David Anders|Louise Griffiths|Jacy King,D. Kerry Prior ,What could be worse than having your best friend die?,police|vigilante|blood|gangster|revenant,A horror movie/buddy comedy about Joey and his undead friend Bart who comes back from the dead as a revenant: an articulate zombie that needs to drink blood to arrest the decomposition of his body.,Comedy|Horror,Putrefactory Limited|Wanko Toys
21862,Deep in the Valley,Rachel Specter|Denise Richards|Brendan Hines|Chris Pratt|Blanca Soto,Christian Forte,Where Every Fantasy Comes True,sex comedy,"Best friends, Carl and Lester, find themselves magically transported into an alternate universe straight out of a real-life adult movie. Hilarity ensues as they embark upon a journey of adult-themed mayhem while Carl ultimately finds true love in the most unlikely of places.",Comedy,Persistent Entertainment
